,Player Name,Players ID,Years Active,Position Played
469,Plaisir Bahamboula,1639cee3,2013-2014,MF
470,Yassine Bahassa,538a8091,2017-2018,FW
471,Jean-Christophe Bahebeck,a8be386b,2010-2020,FW
472,Philippe Bahenda,0649f8a2,2017-2018,MF
473,Pierre-Baptiste Baherlé,1c2039df,2011-2017,MF
474,Quentin Bahl,f535a1d6,2018-2019,DF
475,Farès Bahlouli,776972d5,2012-2018,MF
476,Mohamed Bahlouli,433030e4,2018-2020,MF
477,Nathanael Bai,e09c0445,2018-2019,DF
478,Yohan Bai,e040f3c8,2017-2018,DF
479,Julien Bailleul,77712a1e,2010-2011,DF
480,Allan Baillieux,75c85c1f,2019-2020,DF
481,Kévin Baillif,1417eeeb,2017-2018,GK
482,Pascal Baills 1999-2000 · DF · Montpellier,d637ef7a,1999-2000,DF
483,Dénys Bain,5065d67d,2010-2020,DF
484,Corentin Bajard,42f751fd,2017-2018,MF
485,Stefan Bajic,be13e5a8,2019-2020,GK
486,Oumar Bakari,6d56c3ff,2002-2007,MF
487,Soualio Bakayoko,d0c8154d,2015-2017,DF
488,Tiemoué Bakayoko,59bf127b,2013-2020,MF
489,Samir Bakir,523bbbc8,2017-2020,FW
490,Nassim Bakria,7e34228f,2019-2020,DF
