,Player Name,Players ID,Years Active,Position Played
312,Maximiliano Asís,8a7eb603,2007-2012,DF
313,Fernando Asmar,b0342da2,2017-2018,MF
314,Raúl Asprilla,3aa92280,2007-2010,DF
315,Fabián Assmann,151bb523,2006-2020,FW
316,Marcos Astina,baae9d11,2013-2017,GK
317,Leonardo Astrada,0e068924,2001-2003,MF
318,Federico Astudillo,a9471c90,2001-2003,MF
319,"Martín Astudillo 1999-2010 · MF · Alavés, Osasuna, Rosario Central",fda30cfc,1999-2010,FW
320,Rodrigo Astudillo,9fece117,2001-2008,MF
321,Tomás Attis,a31f576c,2016-2019,FW
322,Mauricio Aubone,faf7871d,bone 2017,FW
323,Luciano Aued,c877f303,2006-2020,FW
324,Juan Augusto Gómez,824e9cce,2006-2009,MF
325,Tomás Augusto Zanotti,130d50ec,2016-2018,MF
326,Carlos Auzqui,476d6fbe,2010-2020,DF
327,Diego Auzqui,76251b8b,2009-2012,MF
328,Adrian Ávalos,f704a2cd,2001-2003,MF
329,Claudio Ávalos,70972f7f,alos 2015,MF
330,Fernando Ávalos,de631474,2001-2009,DF
331,Lucas Aveldaño,d120357b,2008-2020,DF
332,Nicolás Avellaneda,8604966c,2014-2020,DF
333,Ezequiel Ávila,253a06b9,2015-2020,GK
334,Gastón Ávila,f648b2e1,2019-2020,MF
335,Andrés Ayala,f6eed1b5,2018-2020,DF
336,David Ayala,06dafc0e,2019-2020,DF
337,Josué Ayala,caa977f4,2008-2020,MF
338,Maximiliano Ayala,5d318030,2001-2005,GK
339,"Roberto Ayala 1998-2011 · DF · Valencia, Zaragoza, Milan, Racing Club, Atlético Madrid, Argentina",561d182e,1998-2011,FW
340,Rodrigo Ayala,8f33f207,yala 2015,DF
341,Brayan Ayetz,af2dc877,yetz 2017,DF
342,Joaquín Aylagas,ec7e0d11,2016-2017,MF
343,Nicolás Ayr,eba16adf,2001-2016,GK
344,Federico Azcárate,4256b651,2003-2005,DF
345,Pablo Azcurra,d0a1c20a,2006-2007,DF
346,Juan Azil,0ba353bb,Azil 2015,MF
347,G. Bachke,cfcb22a7,chke 2015,DF
348,Tomás Badaloni,d3a444aa,2017-2020,GK
349,Maximiliano Badell,765a4412,2006-2008,FW
350,Aldo Baéz,23098ae0,2014-2015,FW
351,Gabriel Báez,8032e250,2015-2016,MF
352,Lautaro Baeza,2f765179,2013-2014,DF
353,Gonzalo Baglivo,91bc116e,2017-2018,MF
354,Alejandro Baigorria,8c0c1717,2004-2005,MF
355,Andrés Bailo,05677dbc,2012-2017,DF
356,Ignacio Bailone,7a447474,2013-2017,GK
357,Luciano Balbi,8b93b1b4,2009-2020,FW
358,"Abel Balbo 1998-2002 · FW · Fiorentina, Parma, Argentina, Roma",1757d7bb,1998-2002,DF
359,Lucas Baldunciel,9208022a,ciel 2015,FW
360,Leonardo Balerdi,7c3ed041,2018-2020,FW
361,Matías Ballini,15800611,2009-2020,DF
362,Sebastián Balmaceda,40a2506b,2016-2017,MF
363,Gustavo Balvorín,1f1dc281,2005-2010,MF
364,Neri Bandiera,c850305b,2016-2018,FW
365,Éver Banega,fa937f7a,2006-2020,FW
366,Félix Banega,c8224233,2016-2018,MF
367,Tiago Banega,b8131112,2019-2020,MF
368,Pablo Bangardino,25de4439,2007-2015,MF
369,Estefanía Banini,109f5c4c,2015-2019,GK
370,Franco Bano,463315e0,2010-2011,FW
371,Alejandro Barbaro,2117dae4,2010-2018,DF
372,Valentin Barbero,722b36a9,2016-2017,MF
373,Mariano Barbieri,d7691ea6,2014-2019,MF
374,Miguel Barbieri,0e8cbfc4,2016-2020,MF
375,David Barbona,62eef061,2015-2020,DF
376,Joel Barbosa,f6010b2e,2001-2005,MF
377,Mariano Barbosa,aad4f74f,2002-2020,DF
378,Alexander Barboza,b1805c80,2015-2020,GK
379,Facundo Barboza,8f90ef78,2016-2020,DF
380,Pablo Barboza,cc23831b,2016-2017,MF
381,Ignacio Barcia,cfe49be6,2010-2011,MF
382,Ezequiel Barco,7fa737c4,2016-2019,DF
383,Hernán Barcos,dcebe285,2004-2019,FW
384,Cristian Bardaro,c2456f06,2001-2009,FW
385,Giuliano Bardín,ceef4e3d,2011-2014,FW
386,Lucas Bareiro,02a496ff,2016-2020,FW
387,Dante Bareyro,2373ef44,eyro 2015,MF
388,Antonio Barijho,46463f08,2001-2008,DF
389,Cristián Barinaga,b087f684,2004-2010,FW
390,Diego Barisone,881f843c,2011-2015,MF
391,Tomás Baroni,6330c5ab,2016-2017,DF
392,Marcelo Barovero,868c0f75,2007-2020,DF
393,Diego Barrado,3e8f0a6c,2002-2010,GK
394,Jerónimo Barrales,ac8cf215,2006-2020,MF
395,Julio Barraza,bdeab0df,2001-2015,FW
396,Mauro Barraza,4775265c,2019-2020,DF
397,Álvaro Barreal,ffca53e1,2018-2020,MF
398,Maximiliano Barreiro,9c0ec084,2014-2020,MF
399,Leandro Barrera,2541391f,2010-2020,FW
400,Marcos Barrera,35133d99,2006-2020,FW
401,José Barreto,f5ee84d3,2018-2020,DF
402,Sergio Barreto,0c14329b,2017-2020,FW
403,Guido Barreyro,09f309a3,2010-2011,DF
404,Fernando Barrientos,7f6ab903,2011-2020,FW
405,Hugo Barrientos,b2133d4f,2003-2012,MF
406,Pablo Barrientos,c3a799f0,2003-2019,MF
407,Carlos Barrionuevo,c0a1b586,2005-2009,MF
408,Federico Barrionuevo,597ada3c,2001-2011,MF
409,Cristian Barrios,56ef5dc3,2017-2018,MF
410,Eric Barrios,43717134,rios 2019,MF
411,Fernando Barrios,df5475eb,rios 2015,MF
412,Matías Barrios,3fa7eb30,2019-2020,DF
413,Nahuel Barrios,b2fabf7e,2016-2020,DF
414,Pier Barrios,f910551d,2011-2019,MF
